구분,2018년,2019년,2020년,2021년,2022년,
,휘발유,"867,896","951,165","1,096,135","1,079,411","1,078,008"
,경유,"793,852","660,648","587,433","424,296","345,310"
,LPG,"117,205","132,888","123,816","104,756","84,900"
,전기,"33,354","37,431","41,587","99,914","159,992"
,수소,744,"4,194","5,827","8,555","10,336"
,소계,"1,813,051","1,786,326","1,854,798","1,716,932","1,678,546"
